ACRONYM,REFERS TO,DEFINITION,Area Key
AIS,Administrative Information Systems,"AIS is an area in Fuqua’s Information Technology department that provides comprehensive support in business process analysis, requirements gathering, and technical assistance for a variety of administrative systems, including PeopleSoft, Perceptive Content, Slate, Salesforce, Marketing Cloud, Custom Client/Server applications, Tableau, CyberSource, Cvent, EMS Room Scheduling System, and Oracle databases.",Department
AMBA,Accelerated Master of Business Administration,Degree program in which an MBA may be earned in 10 months.  It requires a related degree and/or completed coursework.,Program
BA,Bon Appétit,"Bon Appétit is the food-service provider at the Fuqua School, covering the Racetrack (Coffee bar) and Café, as well as catering.",General
BA,Business Analytics,Sometimes used as a shorthand term for Master of Quantitative Management: Business Analytics program. See MSQM:BA,Program
BCA,Business Computer Applications,Course on Excel and other computer functions. Assignments and quizzes for this course are due at the end of Fall 1 of FY.,Course
BDW,Blue Devil Weekend,"Weekend-long event for admitted students, organized by the Office of Admissions and student volunteers. There is a BDW in February and again in April to accommodate all admitted students’ timelines.  Admissions hosts several other weekend events for prospective Daytime students in Fall.  Also, the admitted students’ weekend for the MMS and MQM programs is called Blue Devil Experience, and for the EMBA programs it is called Blue Devil Celebration.",Admissions
BLUF,Bottom Line Up Front,Used in email communications. BLUF means the most important pieces of information are summarized at the beginning of the email.,General
BMO,Building Management Office,"Fuqua department that manages facilities, space reservations, event directional signage, large copy jobs, course packets, etc.",Department
BNS,Business Negotiation Skills,Students master techniques to influence negotiations and strategies to capitalize on strengths while leveraging different perspectives.,Exec Ed
CAPS,Counseling and Psychological Services (students) ,Duke program supporting students' mental health with counseling and psychological services in individual and group formats. (see PAS for employees),General
CASE,Center for the Advancement of Social Entrepreneurship,"Fuqua academic and research center preparing leaders and organizations with business skills to achieve lasting social change through social entrepreneurship, impact investing, and other means.",Center
C-LEAD,Consequential Leadership,"A two-part core class, with the first part incorporated into Summer Term of FY and the second part at the start of SY. Both parts of C-LEAD involve experiential and team-based learning. C-LEAD is also used to refer to your FY team.",Course
CMC,Career Management Center,Fuqua department responsible for providing career/job search support to students and alumni.,Department
COLE,Coach K Center for Leadership and Ethics,Academic and research center at Fuqua focused on effective leadership and collaboration for a rapidly changing world.,Center
DAA,Duke Alumni Association,"Duke University department that provides programming, networking, and resources to Duke students and alumni from all schools and manages the Duke Alumni Network (online alumni directory)",General
DAR,Development and Alumni Relations,"Fuqua department responsible for fostering connections between current students and the alumni network and raising philanthropic support from alumni, companies, and friends to fund merit scholarships, student activities, MBA program enhancements, and faculty needs.",Department
DKU,Duke Kunshan University,"Duke’s partner campus in Kunshan, China, home to the MMS: DKU program.",General
DLP,Duke Leadership Program (Executive Education),"The Duke Leadership Program draws on research in organizational behavior, sociology, psychology, and political science to develop a customized plan to help participants achieve their goals.",Exec Ed
DLS,Distributed Learning Support,"Distributed Learning Support is an area in Fuqua’s Information Technology department that provides technical support for the GEMBA, WEMBA and MSQM programs. Support includes both in-person and online tech support to all faculty, staff and students participating in these programs—in Durham residencies as well as international residencies.",Department
DMP,Duke Management Program (Executive Education),"The Duke Management Program helps students improve decision-making, manage conflict, and foster innovation using practical insights and actionable strategies from management science to guide and support their team.",Exec Ed
DSS,Distinguished Speaker Series,This program brings high-profile corporate leaders to Fuqua to share their insights on current business issues and corporate strategies through interviews lead by our dean.,General
Duke CE,Duke Corporate Education,Duke Corporate Education spun out of Duke University’s Fuqua School of Business provides customized executive leadership education programs.,General
Duke I&E,Duke Innovation & Entrepreneurship,"A partnership between Fuqua and Duke Interdisciplinary Studies, Duke I&E provides curricular and co-curricular programs, mentorship, research, community, and resources to advance innovation and entrepreneurship.",Center
EDGE,"The Center for Energy, Development, and the Global Environment","Academic and research center at Fuqua focused on education, thought leadership, and industry engagement that enables current and future business leaders to understand and respond effectively to the interrelated global challenges of energy, development, and the environment.",Center
EIS,Enterprise Infrastructure Services,"Enterprise Infrastructure Services is an area in Fuqua’s Information Technology department that provides technical support for all of Fuqua’s underlying infrastructure and operating systems including Windows, Linux, Drupal, WordPress, Enterprise Storage.",Department
EMBA,Executive MBA Programs,EMBA refers broadly to two MBA degree programs at Fuqua created for executives pursuing a degree while working: Weekend Executive MBA and Global Executive MBA.,Program
ETS,Educational Technology Services,Educational Technology Services is an area in Fuqua’s Information Technology department that provides support for technology tools and expertise to enhance the faculty teaching and student learning experience. This team is responsible for managing the Canvas Learning Management System in addition to other third party educational software.,Department
FABS,Faculty Area Budgeting System,"The accounting system supporting the missions of faculty research and education, including travel,devices, and other expenses.",General
FAC,Faculty Advisory Committee,Group of annually voted faculty who advise the dean,Faculty
FANFL,Financial Analysis for Non-Finance Leaders,"This class introduces students to the essential elements of financial reporting, including managerial and financial accounting, and helps them develop a greater understanding of how financial information is used as a strategic tool for decision making.",Exec Ed
FATW,Fuqua Around the World,"A networking and social event for Fuqua alums and current and admitted students happening on the same night all over the globe.  This acronym is not publically used, but is often used as internal shorthand for staff and alumni.  ",Admissions
FCCP,Fuqua Client Consulting Practicum,An experiential learning class offering customized consulting assistance to a diverse array of organizations.,Course
FERPA,Family Educational Rights and Privacy Act (federal law),Family Educational Rights and Privacy Act (federal law),General
FMLA,Family and Medical Leave Act (federal law),Family and Medical Leave Act (federal law),General
FOB,Foundations of Business,Sometimes used as a shorthand term for Master of Management Studies: Foundations of Business program.,Program
FOB,Fuqua On Board,"Extracurricular volunteer board service program administrated by the Office of Student Life, with program oversight by CASE.",General
FSB,Fuqua School of Business,Duke University’s graduate school of Business.,General
FTW,Fuqua This Week,Weekly newsletter sent by the MBAA VP of Communications highlighting the week’s big events and programmng.,General
FY,First Year (Student),Fuqua Daytime MBA student in the First Year of the program.,General
GAP,General Accounting Procedures,General Accounting Procedures,General
GATE,Global Academic Travel Experience,Course in international business and culture with study abroad component. Managed by the International Programs Office (IPO).,General
GEMBA,Global Executive MBA,15 month international MBA program tailored for senior executives. Students meet in 7 residencies around the world for class and in-depth experiential learning.,Program
GLW,Global Leadership Workshop,Students gain a broad perspective on how different sectors within the health care industry are upending their business models and rapidly reassessing their market strategy.     ,Exec Ed
HA,Master of Science in Quantitative Management: Health Analytics,Sometimes used as a shorthand term for Master of Quantitative Management: Health Analytics program.  See MSQM:HA,Program
